"company_id","store","terminal_number","mac_address_obsolete","mac_address","last_updated"
2,0353,007,false,242FFA3CDD98,2026-06-25 20:03:08
2,0353,008,false,242FFA3CDC17,2026-06-25 20:03:08
2,0353,009,false,242FFA3CDBE4,2026-06-25 20:03:08
2,0353,010,false,242FFA3CDE15,2026-06-25 20:03:08
2,0353,011,false,242FFA3CDB43,2026-06-25 20:03:08
2,0353,012,false,242FFA3CC895,2026-06-25 20:03:08
2,0353,553,false,242FFA2799ED,2026-06-25 20:03:08
2,0353,642,false,242FFA12E11F,2026-06-25 20:03:08
2,0353,650,false,242FFA22074D,2026-06-25 20:03:08
2,0353,651,false,242FFA220CCD,2026-06-25 20:03:08
2,0353,652,false,242FFA220CF3,2026-06-25 20:03:08
2,0353,531,false,242FFA18D582,2026-06-06 20:02:55
2,0353,540,false,242FFA3CC582,2026-06-25 20:03:08
2,0353,541,false,242FFA3CDBEA,2026-06-25 20:03:08
2,0353,542,false,242FFA12E11F,2026-06-06 20:02:55
2,0353,543,false,242FFA101AFA,2026-06-06 20:02:55
2,0353,552,false,242FFA279862,2026-06-25 20:03:08
2,0353,521,false,242FFA220CCD,2026-06-06 20:02:55
2,0353,522,false,242FFA220CF3,2026-06-06 20:02:55
2,0353,523,false,242FFA12CB42,2026-06-06 20:02:55
2,0353,524,false,242FFA2207F6,2026-06-06 20:02:55
2,0353,525,false,242FFA220615,2026-06-06 20:02:55
2,0353,530,false,242FFA18D575,2026-06-06 20:02:55
2,0353,511,false,242FFA178E88,2026-06-25 20:03:08
2,0353,512,false,242FFA10A625,2026-06-25 20:03:08
2,0353,513,false,242FFA12CB42,2026-06-25 20:03:08
2,0353,514,false,242FFA2207F6,2026-06-25 20:03:08
2,0353,515,false,242FFA220615,2026-06-25 20:03:08
2,0353,520,false,242FFA22074D,2026-06-06 20:02:55
2,0353,501,false,242FFA12DA36,2026-06-25 20:03:08
2,0353,502,false,242FFA129C2B,2026-06-25 20:03:08
2,0353,503,false,242FFA18CC17,2026-06-25 20:03:08
2,0353,504,false,242FFA18CC21,2026-06-25 20:03:08
2,0353,505,false,242FFA18CBF0,2026-06-25 20:03:08
2,0353,510,false,242FFA11C9B9,2026-06-25 20:03:08
2,0353,152,false,242FFA056DB8,2026-06-06 20:02:55
2,0353,160,false,242FFA18F19D,2026-06-06 20:02:55
2,0353,234,false,242FFA11C9B9,2026-06-06 20:02:55
2,0353,300,false,242FFA3CDE19,2026-06-25 20:03:08
2,0353,333,false,242FFA22074D,2026-06-06 20:02:55
2,0353,500,false,242FFA129069,2026-06-25 20:03:08
2,0353,090,false,242FFA17EE35,2026-06-06 20:02:55
2,0353,100,false,242FFA05BED1,2026-06-06 20:02:55
2,0353,101,false,242FFA056D75,2026-06-06 20:02:55
2,0353,111,false,242FFA230AC1,2026-06-06 20:02:55
2,0353,150,false,242FFA231585,2026-06-25 20:03:08
2,0353,151,false,242FFA230AC1,2026-06-25 20:03:08
2,0353,040,false,5CF3FCD34D25,2026-06-06 20:02:55
2,0353,055,false,242FFA3CDB2A,2026-06-25 20:03:08
2,0353,065,false,242FFA3CD885,2026-06-25 20:03:08
2,0353,066,false,242FFA3CD036,2026-06-25 20:03:08
2,0353,067,false,242FFA3CDBFA,2026-06-25 20:03:08
2,0353,070,false,242FFA226AE1,2026-06-06 20:02:55
2,0353,030,false,242FFA3CDB9E,2026-06-25 20:03:08
2,0353,031,false,242FFA3CCCD7,2026-06-25 20:03:08
2,0353,035,false,242FFA056DB3,2026-06-06 20:02:55
2,0353,036,false,5CF3FCD401CB,2026-06-06 20:02:55
2,0353,038,false,242FFA05BED6,2026-06-06 20:02:55
2,0353,039,false,242FFA056EE7,2026-06-06 20:02:55
2,0353,013,false,242FFA3CDBD6,2026-06-25 20:03:08
2,0353,014,false,242FFA056DBF,2026-06-06 20:02:55
2,0353,015,false,242FFA056D42,2026-06-06 20:02:55
2,0353,016,false,242FFA056C52,2026-06-06 20:02:55
2,0353,017,false,242FFA05BE5D,2026-06-06 20:02:55
2,0353,018,false,5CF3FCD401CB,2026-06-06 20:02:55

